Rank,Name,Symbol,Link
1,Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/
2,Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/
3,Tether USDt,USDT,https://coinmarketcap.com/currencies/tether/
4,BNB,BNB,https://coinmarketcap.com/currencies/bnb/
5,Solana,SOL,https://coinmarketcap.com/currencies/solana/
6,USDC,USDC,https://coinmarketcap.com/currencies/usd-coin/
7,XRP,XRP,https://coinmarketcap.com/currencies/xrp/
8,Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/
9,Toncoin,TON,https://coinmarketcap.com/currencies/toncoin/
10,TRON,TRX,https://coinmarketcap.com/currencies/tron/
11,Cardano,ADA,https://coinmarketcap.com/currencies/cardano/
12,Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/
13,Shiba Inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/
14,Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/
15,Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/
16,Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/
17,Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/
18,UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/
19,NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/
20,Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/
21,Kaspa,KAS,https://coinmarketcap.com/currencies/kaspa/
22,Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/
23,Artificial Superintelligence Alliance,FET,https://coinmarketcap.com/currencies/artificial-superintelligence-alliance/
24,Sui,SUI,https://coinmarketcap.com/currencies/sui/
25,Aptos,APT,https://coinmarketcap.com/currencies/aptos/
26,Internet Computer,ICP,https://coinmarketcap.com/currencies/internet-computer/
27,Bittensor,TAO,https://coinmarketcap.com/currencies/bittensor/
28,Pepe,PEPE,https://coinmarketcap.com/currencies/pepe/
29,Monero,XMR,https://coinmarketcap.com/currencies/monero/
30,First Digital USD,FDUSD,https://coinmarketcap.com/currencies/first-digital-usd/
31,POL (ex-MATIC),POL,https://coinmarketcap.com/currencies/polygon-ecosystem-token/
32,Render,RENDER,https://coinmarketcap.com/currencies/render/
33,Stellar,XLM,https://coinmarketcap.com/currencies/stellar/
34,Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/
35,Immutable,IMX,https://coinmarketcap.com/currencies/immutable-x/
36,Stacks,STX,https://coinmarketcap.com/currencies/stacks/
37,OKB,OKB,https://coinmarketcap.com/currencies/okb/
38,Aave,AAVE,https://coinmarketcap.com/currencies/aave/
39,Cronos,CRO,https://coinmarketcap.com/currencies/cronos/
40,Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/
41,Arbitrum,ARB,https://coinmarketcap.com/currencies/arbitrum/
42,Injective,INJ,https://coinmarketcap.com/currencies/injective/
43,Mantle,MNT,https://coinmarketcap.com/currencies/mantle/
44,Optimism,OP,https://coinmarketcap.com/currencies/optimism-ethereum/
45,Hedera,HBAR,https://coinmarketcap.com/currencies/hedera/
46,VeChain,VET,https://coinmarketcap.com/currencies/vechain/
47,Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/
48,Fantom,FTM,https://coinmarketcap.com/currencies/fantom/
49,dogwifhat,WIF,https://coinmarketcap.com/currencies/dogwifhat/
50,The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/
51,THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain/
52,Maker,MKR,https://coinmarketcap.com/currencies/maker/
53,Theta Network,THETA,https://coinmarketcap.com/currencies/theta-network/
54,Bitget Token,BGB,https://coinmarketcap.com/currencies/bitget-token-new/
55,Arweave,AR,https://coinmarketcap.com/currencies/arweave/
56,Sei,SEI,https://coinmarketcap.com/currencies/sei/
57,FLOKI,FLOKI,https://coinmarketcap.com/currencies/floki-inu/
58,Bonk,BONK,https://coinmarketcap.com/currencies/bonk1/
59,Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/
60,Celestia,TIA,https://coinmarketcap.com/currencies/celestia/
61,Helium,HNT,https://coinmarketcap.com/currencies/helium/
62,Pyth Network,PYTH,https://coinmarketcap.com/currencies/pyth-network/
63,Jupiter,JUP,https://coinmarketcap.com/currencies/jupiter-ag/
64,Algorand,ALGO,https://coinmarketcap.com/currencies/algorand/
65,JasmyCoin,JASMY,https://coinmarketcap.com/currencies/jasmy/
66,Lido DAO,LDO,https://coinmarketcap.com/currencies/lido-dao/
67,MANTRA,OM,https://coinmarketcap.com/currencies/mantra/
68,Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/
69,Core,CORE,https://coinmarketcap.com/currencies/core-dao/
70,Ondo,ONDO,https://coinmarketcap.com/currencies/ondo-finance/
71,Quant,QNT,https://coinmarketcap.com/currencies/quant/
72,KuCoin Token,KCS,https://coinmarketcap.com/currencies/kucoin-token/
73,BitTorrent [New],BTT,https://coinmarketcap.com/currencies/bittorrent-new/
74,Flow,FLOW,https://coinmarketcap.com/currencies/flow/
75,Popcat (SOL),POPCAT,https://coinmarketcap.com/currencies/popcat-sol/
76,Beam,BEAM,https://coinmarketcap.com/currencies/onbeam/
77,EOS,EOS,https://coinmarketcap.com/currencies/eos/
78,Brett (Based),BRETT,https://coinmarketcap.com/currencies/based-brett/
79,GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/
80,MultiversX,EGLD,https://coinmarketcap.com/currencies/multiversx-egld/
81,Notcoin,NOT,https://coinmarketcap.com/currencies/notcoin/
82,Axie Infinity,AXS,https://coinmarketcap.com/currencies/axie-infinity/
83,USDD,USDD,https://coinmarketcap.com/currencies/usdd/
84,Worldcoin,WLD,https://coinmarketcap.com/currencies/worldcoin-org/
85,Nervos Network,CKB,https://coinmarketcap.com/currencies/nervos-network/
86,Flare,FLR,https://coinmarketcap.com/currencies/flare/
87,ORDI,ORDI,https://coinmarketcap.com/currencies/ordi/
88,Neo,NEO,https://coinmarketcap.com/currencies/neo/
89,PayPal USD,PYUSD,https://coinmarketcap.com/currencies/paypal-usd/
90,Gala,GALA,https://coinmarketcap.com/currencies/gala/
91,Starknet,STRK,https://coinmarketcap.com/currencies/starknet-token/
92,Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/
93,Akash Network,AKT,https://coinmarketcap.com/currencies/akash-network/
94,Pendle,PENDLE,https://coinmarketcap.com/currencies/pendle/
95,Tether Gold,XAUt,https://coinmarketcap.com/currencies/tether-gold/
96,Conflux,CFX,https://coinmarketcap.com/currencies/conflux-network/
97,The Sandbox,SAND,https://coinmarketcap.com/currencies/the-sandbox/
98,eCash,XEC,https://coinmarketcap.com/currencies/ecash/
99,SATS,1000SATS,https://coinmarketcap.com/currencies/sats/
100,Ethereum Name Service,ENS,https://coinmarketcap.com/currencies/ethereum-name-service/
101,Wormhole,W,https://coinmarketcap.com/currencies/wormhole/
102,dYdX (Native),DYDX,https://coinmarketcap.com/currencies/dydx-chain/
103,Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/
104,Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland/
105,Ronin,RON,https://coinmarketcap.com/currencies/ronin/
106,Mina,MINA,https://coinmarketcap.com/currencies/mina/
107,PancakeSwap,CAKE,https://coinmarketcap.com/currencies/pancakeswap/
108,Chiliz,CHZ,https://coinmarketcap.com/currencies/chiliz/
109,Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/
110,Ethena,ENA,https://coinmarketcap.com/currencies/ethena/
111,Oasis,ROSE,https://coinmarketcap.com/currencies/oasis-network/
112,Synthetix,SNX,https://coinmarketcap.com/currencies/synthetix/
113,PAX Gold,PAXG,https://coinmarketcap.com/currencies/pax-gold/
114,TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd/
115,DeXe,DEXE,https://coinmarketcap.com/currencies/dexe/
116,Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/
117,AIOZ Network,AIOZ,https://coinmarketcap.com/currencies/aioz-network/
118,IOTA,IOTA,https://coinmarketcap.com/currencies/iota/
119,Terra Classic,LUNC,https://coinmarketcap.com/currencies/terra-luna/
120,DOGS,DOGS,https://coinmarketcap.com/currencies/dogs/
121,ApeCoin,APE,https://coinmarketcap.com/currencies/apecoin-ape/
122,Astar,ASTR,https://coinmarketcap.com/currencies/astar/
123,BinaryX,BNX,https://coinmarketcap.com/currencies/binaryx-new/
124,Livepeer,LPT,https://coinmarketcap.com/currencies/livepeer/
125,LayerZero,ZRO,https://coinmarketcap.com/currencies/layerzero/
126,BOOK OF MEME,BOME,https://coinmarketcap.com/currencies/book-of-meme/
127,zkSync,ZK,https://coinmarketcap.com/currencies/zksync/
128,FTX Token,FTT,https://coinmarketcap.com/currencies/ftx-token/
129,SuperVerse,SUPER,https://coinmarketcap.com/currencies/superfarm/
130,Theta Fuel,TFUEL,https://coinmarketcap.com/currencies/theta-fuel/
131,Gnosis,GNO,https://coinmarketcap.com/currencies/gnosis-gno/
132,Axelar,AXL,https://coinmarketcap.com/currencies/axelar/
133,XDC Network,XDC,https://coinmarketcap.com/currencies/xdc-network/
134,IoTeX,IOTX,https://coinmarketcap.com/currencies/iotex/
135,cat in a dogs world,MEW,https://coinmarketcap.com/currencies/mew/
136,Mog Coin,MOG,https://coinmarketcap.com/currencies/mog-coin/
137,Kava,KAVA,https://coinmarketcap.com/currencies/kava/
138,Raydium,RAY,https://coinmarketcap.com/currencies/raydium/
139,APENFT,NFT,https://coinmarketcap.com/currencies/apenft/
140,Compound,COMP,https://coinmarketcap.com/currencies/compound/
141,Osmosis,OSMO,https://coinmarketcap.com/currencies/osmosis/
142,Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold/
143,Blur,BLUR,https://coinmarketcap.com/currencies/blur-token/
144,MX Token,MX,https://coinmarketcap.com/currencies/mx-token/
145,Safe,SAFE,https://coinmarketcap.com/currencies/safe1/
146,WEMIX,WEMIX,https://coinmarketcap.com/currencies/wemix/
147,SafePal,SFP,https://coinmarketcap.com/currencies/safepal/
148,Dymension,DYM,https://coinmarketcap.com/currencies/dymension/
149,Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/
